sub_area;feb16
Akademicheskoe;180740
Caricyno;126560
Zapadnoe Degunino;123060
Kon'kovo;169540
Preobrazhenskoe;152250
Filevskij Park;171360
Pechatniki;125510
Babushkinskoe;140280
Jaroslavskoe;122080
Horoshevo-Mnevniki;179760
Ljublino;122430
Nekrasovka;118160
Kurkino;158410
Brateevo;122780
Mitino;133000
Beskudnikovskoe;123060
Tverskoe;402500
Severnoe Medvedkovo;139860
Juzhnoe Butovo;113120
Novo-Peredelkino;110810
Gol'janovo;125090
Tekstil'shhiki;131110
Chertanovo Juzhnoe;131320
Ajeroport;191590
Presnenskoe;241010
Ostankinskoe;168210
Jasenevo;136920
Kuz'minki;131110
Rostokino;168210
Izmajlovo;155680
Taganskoe;229600
Ochakovo-Matveevskoe;146440
Severnoe Izmajlovo;125090
Chertanovo Severnoe;142660
Savelovskoe;182980
Ramenki;247730
Nagornoe;150500
Juzhnoe Tushino;139230
Nagatinskij Zaton;154140
Chertanovo Central'noe;142660
Perovo;129780
Birjulevo Vostochnoe;105070
Severnoe Butovo;114800
Strogino;151060
Horoshevskoe;189560
Orehovo-Borisovo Severnoe;127190
Begovoe;229950
Mar'ino;126490
Orehovo-Borisovo Juzhnoe;127190
Bibirevo;128170
Pokrovskoe Streshnevo;148960
Nizhegorodskoe;180180
Cheremushki;196210
Solncevo;116060
Moskvorech'e-Saburovo;126560
Kosino-Uhtomskoe;117530
Otradnoe;137200
Kuncevo;154840
Basmannoe;193900
Vyhino-Zhulebino;118160
Mar'ina Roshha;182980
Lefortovo;140560
Kotlovka;157010
Sviblovo;150290
Veshnjaki;111930
Danilovskoe;157010
Obruchevskoe;169540
Nagatino-Sadovniki;154140
Bogorodskoe;129290
Zamoskvorech'e;242410
Rjazanskij;122640
Severnoe Tushino;139230
Vojkovskoe;152880
Hovrino;143080
Golovinskoe;138600
Sokolinaja Gora;155680
Zjablikovo;122780
Zjuzino;150500
Fili Davydkovo;171360
Vostochnoe Izmajlovo;135240
Koptevo;152880
Mozhajskoe;169820
Novokosino;117530
Donskoe;230720
Lomonosovskoe;247730
Alekseevskoe;190400
Birjulevo Zapadnoe;105070
Levoberezhnoe;143080
Teplyj Stan;110530
Losinoostrovskoe;122080
Novogireevo;126000
Shhukino;148960
Ivanovskoe;126000
Hamovniki;297570
Dmitrovskoe;123060
Arbat;439180
Juzhnoportovoe;156380
Vostochnoe Degunino;123060
Marfino;131880
Juzhnoe Medvedkovo;140280
Krasnosel'skoe;283920
Lianozovo;125440
Sokol;191590
Troparevo-Nikulino;154630
Metrogorodok;129290
Krylatskoe;183820
Meshhanskoe;293020
Prospekt Vernadskogo;203000
Jakimanka;365120
Dorogomilovo;252770
Timirjazevskoe;158410
Gagarinskoe;247730
Butyrskoe;158410
Molzhaninovskoe;169820
Altuf'evskoe;128170
Sokol'niki;188160
Kapotnja;126490
Vnukovo;110810
Silino;126000
Matushkino;112000
Troickij okrug;112000
Savelki;91000
Severnoe;112000
Krjukovo;115500
Staroe Krjukovo;126000
Vostochnoe;112000
